지점,지점명,일시,평균기온(°C)
108,서울,2012-04-17,13.6
108,서울,2012-04-18,15.2
108,서울,2012-04-19,17
108,서울,2012-04-20,18.4
108,서울,2012-04-21,11.4
108,서울,2012-04-22,9.4
108,서울,2012-04-23,12.9
108,서울,2012-04-24,19.7
108,서울,2012-04-25,15.1
108,서울,2012-04-26,11.9
108,서울,2012-04-27,15.2
108,서울,2012-04-28,17
108,서울,2012-04-29,19.9
108,서울,2012-04-30,22.9
108,서울,2012-05-01,22.6
108,서울,2012-05-02,23.1
108,서울,2012-05-03,20
108,서울,2012-05-04,19.7
108,서울,2012-05-05,18.8
108,서울,2012-05-06,18.1
108,서울,2012-05-07,18.5
108,서울,2012-05-08,20.8
108,서울,2012-05-09,20.7
108,서울,2012-05-10,20.1
108,서울,2012-05-11,16.2
108,서울,2012-05-12,17.1
108,서울,2012-05-13,19.1
108,서울,2012-05-14,16.1
108,서울,2012-05-15,16.9
108,서울,2012-05-16,16.6
108,서울,2012-05-17,16.6
108,서울,2012-05-18,18.1
108,서울,2012-05-19,19.5
108,서울,2012-05-20,21.3
108,서울,2012-05-21,23
108,서울,2012-05-22,23.3
